Code	Stage	Slot	Name	Name (Alternate)	Description 	Strength	Speed	Stamina	Regular Tech	Special Tech	Strength	Speed	Stamina	Intelligence	Willpower	Tactics	Power	Control	Reserves
999	2	5	Open Slot																
999	2	6	Open Slot																
999	3	1	Chakra Hunting Technique	Chakra Tsuitou no Jutsu	During chase procedures and otherwise, when the user has been closer to the target than thirty feet, and having had the ability to see the target clearly under those circumstances, the user can remember the target's chakra currents and distinguish these for a number of posts equal to the user's power divided by two. If the enemy uses a genjutsu, or gains a difference of more than a mile, the user will lose track of the target. 														
999	3	2	Reduced Earth	Shukuchi	Originally implemented by samurai, shinobi have learned to use chakra to perform this technique as well. By forcing chakra into the legs, the user is able to go from standstill to his highest speed instantaneously and crush the distance separating him from his opponent, seizing the element of surprise through incredible speed. The user's speed increases by two levels for two posts, and is reduced by two from base for two more in the fallout. 														
999	3	3	Hidden Explosion Technique	Hitoshizeru Bakuhatsu no Jutsu	The user claps their hands together, smoke and force immediately exploding out from them, shrouding the entire battlefield. The smoke is totally opaque to all sight, whether enhanced by shinobi arts or through technology meant to peer through it. An excellent way to either escape dogged pursuers or reposition for a counterattack, the smoke gives the user and their allies' two posts following its creation to prepare or get away before it dissipates.														
999	3	4	Ventriloquism	Fukuwajutsu	Fukuwajutsu is a simple, sound-based ninjutsu technique. Forming the needed handseals, the shinobi will project his voice to any place within unaugmented sight to hide his location and the number of allies at their side.														
999	3	5	Open Slot																
999	3	6	Open Slot																
999	4	1	Instantaneous Body Technique	Shunshin no Jutsu 	An ability which allows the user to teleport from one area to another by stepping through a burst of chakra-made smoke. The user has to have been to the area before, distance is limited to about one mile, and it cannot be used in battle except to completely escape.														
999	4	2	Hand of Debris	Saihen no Te	By charging objects with chakra, the user can bind them together to make a hand, no larger than their own, to do their bidding. After it is created, the user gives it a command that may not exceed three words, such as Bring The Key or Strangle The Guard. It is remarkably dexterous, able to 'walk' on walls and seems capable of perceiving its surroundings. The hand has strength equal to the user's power and cannot be destroyed; the materials scatter but they simply reform. Four posts after its creation the hand falls apart. Particularly insidious shinobi have been known to make sure that some of the hand's fingers are kunai or needles, and sent it scampering after someone nearby that they want dead. 														
999	4	3	Iron Chain Calling Technique	Tessayose no Jutsu	With a range of the user's sight in a general given area, the user slams their hand against a surface. Anywhere on the surface in plain sight for the user calls five separate chains to tie down a target. The chains are made of simple iron but are extremely thick and heavy, but dispel once the target is completely free. This jutsu was designed mainly to fight Taijutsu Human Tank users. The chains are helpless against Ninjutsu techniques. These chains are completely normal save that the user can control their movement. Regardless of whether the victim has moved at all, these chains will disappear after three turns.														
999	4	4	Homing Roof Tile Shuriken Technique	Kisousei Ninpou Kawara Shuriken	The user is able to use chakra to seize and lift any object within their grasp. The object must be something that the user could normally lift and throw with one hand. The user then launches the item toward a target, preferably an enemy, whom it follows for up to three posts. The object cannot make 90 degree turns, and can only veer left or right. This makes turning around possible, but not sudden. If the object hits something like a tree or rock, it will stop. The user can lift and throw ten such objects at a time. Stage Five: As above, but the projectiles explode with the force of an explosive tag.														
999	4	5	The Art of Walking on Air	Tenkuu Hokou no Gyou	While airborne, the user can focus his chakra into his feet in order to make a sort of invisible stepping stone to push off of again. This can be used as a sort of double-jump commonly seen from, say, Mario, or be used to push off and change directions in midair. This technique can only be used once per jump, and the strength of the second jump is no greater than the strength of a normal jump. For instance, if your character has a five foot vertical leap, using this technique he could conceivably jump ten feet into the air. 														
999	4	6	Open Slot																
999	5	1	Stinging Mist Technique	Hiritsuku Kasumi no Jutsu	The ninja inhales and sends out a spray of stinging substance from his mouth. The technique itself looks like the fine spray from a hose, with the droplets being a slightly yellowish color. It causes intense itching sensation on the skin of the afflicted, causes temporary blindness in the eyes and swelling in the throat cavity of anyone who inhales the gas, fading only after three posts. Once the substance leaves their mouth the user and his allies would be well advised to stay clear.														
999	5	2	Underworld Spines	Togeyomi	When activated, this technique instantly lengthens and hardens the hair, changing it into a protective coat of spines that covers the body. The spines are sharp enough to easily pierce anybody making contact with the user, such as during taijutsu attacks, but the coat doesn't protect the user from ninjutsu at all. The spines last for two posts before the hair softens and returns to its previous length.														
999	5	3	Higher Element Hand	Takai Yoso no Te	An improvement on the original Yoso no Te, this technique begins the same way. Rather than create a single chakra arm, however, the user is able to create six at once, three pairs of arms that all seem to be attached around the user's shoulders. As before, these arms can be composed of any element the user can control or can just be solidified chakra. These arms are much stronger than before and function with half the Strength of the user. Power 25: The user can create seven total arms. Power 32: The user can create eight total arms. Control 24: The elemental arms have half the Strength of the user. Control 31: The elemental arms have the full Strength of the user.														
999	5	4	Thousand Birds	Chidori 	The only original technique of Konohagakure's legendary Hatake Kakashi, the user focuses an enormous amount of chakra into one hand, so much that it becomes visible and emits a chirping noise like the sound of a thousand birds. The shinobi runs towards his enemy and thrusts quickly to cut through him, and the jutsu is indeed so powerful that it is rumored to be able to halve even a lightning bolt. However, because the user is moving so fast to attack, he is unable to detect any counterattacks executed by the enemy, so it is ideal to use Chidori in tandem with another technique that can alert the user to counters, such as a doujutsu. 														
999	5	5	Rasengan 	Spiral Sphere	Developed by Yondaime Hokage and later adopted by Uzumaki Naruto as one of his signature techniques, Rasengan forms a spiral sphere of compact chakra in the palm of the user's hand. It does not look like much, but it packs a tremendously uber punch, capable of blowing out holes in metal and blasting enemies through most surfaces, whether they be walls, ceilings, or rocks. In addition to the severe knockback power this possesses, the Rasengan is capable of dealing internal damage, making it a very valuable jutsu. 														
999	5	6	Open Slot																
999	6	1	Shadow Clone Technique	Kage Bunshin no Jutsu	A forbidden jutsu that creates perfect clones of the user, not just plain illusions. Each clone is a spitting image of the user, capable of attacking and using jutsu the user knows, except Kage Bunshin, and spending the original's jutsu usages to do so. A direct hit causes the clones to vanish and each clone may only use a single jutsu before vanishing as well. The user can have five clones at once. Power 28: The user can have ten clones at once. Power 35: The user can have fifteen clones at once.														
999	6	2	Evil Sealing Method	Fuuja Houin	This method of sealing can be preformed both voluntarily and involuntarily. When done involuntarily, the user has no time for preparation, and therefore the job is a sloppy one. The user must make physical contact with the target. If the target does not have a curse seal, nothing happens. If they do, the technique shuts it down, cutting off all benefits their seal may have provided them and leaving the penalties for the remainder of the thread. When done voluntarily the user has more time to prepare, creating an elaborate sealing ritual that differs from person to person, but always has the same effect; the seal is contained. Exactly what this entails varies from seal to seal, the effects varying from shutting down some benefits and mollifying some disadvantages to making the seal safe to use at all. Its duration is indefinite. 														
999	6	3	Shuriken Shadow Clone Technique	Shuriken Kage Bunshin no Jutsu	Similar to Kage Bunshin no Jutsu, this technique allows the user to create many identical copies of a thrown projectile. Usually, this jutsu is performed after the item is already in flight, at which point a massive number of copies split from the original. This can create a veritable wall of kunai all streaking towards an enemy. Once they strike a solid surface, the copies quickly dissipate, but deal normal damage before vanishing.														
999	6	4	Underworld Spears	Shogiyomi 	An upgraded version of the Togeyomi, this version instead creates long sharp spears of hair that extend to about double the arm's length of the user. Not as fragile as the Togeyomi, the spears can absorb a Stage Six ninjutsu without breaking. However, after blocking an attack, the spears break down and return to normal. The spears themselves are as sharp as true spears and extend with great force and speed to catch close targets off guard.														
999	6	5	Open Slot																
999	6	6	Open Slot																
999	7	1	Exploding Shadow Clone Technique	Bakuretsu Kage Bunshin no Jutsu															
999	7	2	Deadlock	Ikidzumari	The user sets six boundaries with his tags in the shape of a rectangle, one tag to set each corner, one tag to set the bottom, and one tag at the top. Altogether they could use the technique to completely swallow a small home, though no larger. Once the boundaries have been set the user holds both their hands into a seal and focuses, turning the inside of their rectangle into a chakra dead zone. A technique from outside the boundaries could rip the user to splinters, but any within finds themselves pitted against the user's power in a spiritual tug-of-war. It does not distinguish between friend and foe; all chakra is cut off. The Deadlock has enough juice to fizzle four techniques before collapsing on itself, rebounding on the user and knocking them unconscious. While the jutsu is in progress they may move, but can use no jutsu of their own.														
999	7	3	Open Slot																
999	7	4	Open Slot																
999	7	5	Spiral Bomb	Rasenbakudan	The technique begins with the user creating a spiraling sphere of pure chakra in their palm, much as with Rasengan, but with far more density, turning the orb dark. The user then holds out their hand and expels the sphere forward at intense speeds with a burst of chakra. It continues on a straight path until it comes into contact with any object, after which it explodes outward with enough concussive force to turn a small neighborhood into a ruin, and anyone close to the blast into a sizable bloodstain. If it is fired and misses it continues moving, and if it does not hit anything dissipates to nothing over the course of an hour.														
999	7	6	Armor Of The Thousand Birds	Chidori no Koutetsu	The user takes the same coating that they used to turn their hand into a deadly weapon and applies it to the whole of their body, shielding them inside energy capable of deflecting lightning, (stage six and lower) and making all parts of their body into a weapon, capable of running through stone and leaving a man-shaped hole behind, and augmenting their hand-to-hand attacks so that every one could tear through flesh and bone as easy as the open air. Upon initiation, white light flares from their whole body, and the signature sound of Chidori's chirping turns far louder. It would take a blind and deaf man to not see that a shinobi was in this state. The technique lasts for three posts, after which the user is rendered incapable of using any jutsu above stage three for the remainder of the thread due to the intense strain this technique has on the Inner Coils.														
998	1	1	Medical Training	Igaku Kunren 	This is a passive technique representing the intense training that most medic nin undergo. Medics are taught to recognize injuries and diseases through symptoms and signs, but trained medics can detect hidden or invisible symptoms by kneeling next to patients and running their hands over the patient's body. If the medic runs chakra through his hands this way, he can detect internal injuries, heart rate, hairline fractures, poisons, and diseases. Further, the medic knows how to properly clean their hands, arms, and face for medical purposes with chakra, preventing them from accidentally infecting a patient during surgery, even out in the field. Base Effect: One full post to fully diagnose a patient. Stage Two: One action to fully diagnose a patient. Stage Three: The medic may autopsy a well-preserved body with the same diagnostic method														
998	1	2	Power of Resistance	Teikouryoku	A medic must always be wary of becoming a victim of whatever his patient suffers from. With this technique, a medic can temporarily increase his resistance to mundane diseases and poisons. However, it has no effect against diseases or poisons already affecting the medic. Base Effect: Two posts of immunity to non-chakra based diseases and poisons. Stage Two: Three posts of immunity. The medic may now affect an ally in addition to himself. Stage Three: Four posts of immunity. The medic may now affect three allies in addition to himself.														
998	1	3	Caretaker	Kanrinin	Though medics are taught to treat injuries with tools and medicines the way normal doctors or nurses might, many learn how to take care of basic ailments through chakra means. As the medic grows in skill and knowledge, he he expands his repertoire of chakra-assisted techniques. Base Effect: At this level, the medic is able to extract foreign objects and clean wounds by laying his hands on either side of an injury and using chakra to lift debris up and away. This allows the medic to prepare a wound for treatment without causing further damage. Objects piercing vital organs require a full post of concentration to remove safely. Stage Two: By holding his hands over a patient's chest, the medic may now perform a kind of chakra-assisted CPR. The hearts and lungs are massaged into normal functioning, allowing the medic to keep a patient with breath and blood flow even if injured. However, if the airway is blocked, this technique is useless. Stage Three: The medic can now use chakra to stabilize a patient's body temperature, expending chakra to spread heat over the body or to siphon heat away into the air. He cannot use this ability to cause abnormal temperatures (ie create fevers or cause hypothermia), but once treated a patient remains at healthy temperature for five posts. Stage Four: Now the medic may perform impromptu blood transfusions by making a small incision on a willing donor and a patient. Chakra is used to create a thin, invisible tube through which blood flows from the donor into the recipient and alters the blood to the proper type for the recipient. Each post transfers about a normal IV bag worth of blood from one person to another.														
998	1	4	Disease Containment	Byouki no Fujikome	By placing a hand on a patient and sending chakra through the whole body, a medic can isolate and contain vectors of disease. The medic raises his hand from the patient and glowing chakra pulls out of the patient, gathering the disease itself into a floating mass. The user then presses his hand into an open scroll, causing the extracted disease to float down into the page and seal within in as symbols and kanji appear around it, locking it in place. The kanji indicate what disease has just been sealed. Once removed from the body, the patient is effectively cured of his disease, though any damage caused must still be treated normally. Base Effect: The medic can seal fungus-based diseases, like athlete's foot or aspergillosis. Stage Two: The medic can seal substance-based diseases, like poisons or hayfever. Stage Three: The medic can seal bacteria-based diseases, like salmonella or tetanus. Stage Four: The medic can seal virus-based diseases, like the common cold or influenza.														
998	1	5	Forbidden Technique: Disease Propagation	Kinjutsu: Byouki no Denpa	The user most open a scroll that has a disease sealed into it, and performs handseals to release the disease from within the scroll. The vector of disease hangs in the air in a ball of glowing chakra, just in front of the medic's open palm. Then, the user may slam his hand against an enemy target, pressing the disease into the target's body as he does so. The target is thus infected with the released disease, though it does not fully take root until a post later. The disease rapidly progresses to the same stage as it was when it was removed from a patient. Base Effect: The medic may infect targets with fungus-based diseases. Stage Two: The medic may infect targets with substance-based diseases. Stage Three: The medic may infect targets with bacteria-based diseases. Stage Four: The medic may infect targets with virus-based diseases.														
998	1	6	Forbidden Technique: Corpse Search	Kinjutsu: Shibito Tankyuu	The user does a series of seals, then presses his hand against the ground. A chakra pulse runs through the earth like a radar wave, allowing the medic to find corpses hidden in the ground. This allows him to detect corpses within a fifty foot radius as well as determine what sort of animal made each corpse. He can use this to direct himself to the nearest dead body.														
998	2	1	Blood Coagulation	Keksuki Gyouko	A simple healing technique, the medic performs handseals and then touches a patient's open wound. The blood there coagulates, forming a clot that prevents the wound from bleeding any further. This is only a preliminary treatment as it does not stop internal bleeding. Superficial wounds can be clotted instantly, but deep wounds require a post of concentration.														
998	2	2	Poison Removal	Jokyo Dokubutsu	A medic with this technique can quickly protect a patient or ally from the effects of a poison by delaying its effects. After seals, he need simply make physical contact with a target, allowing his chakra to transfer into the target's body. The chakra wraps around poison in the blood and body tissues, forming a shell that prevents it from working. This allows a medic to prepare a true antidote. Base Effect: Two post delay. Stage Three: Three post delay or poisons costing 2 weapon points or fewer, or stage two or lower, can be destroyed. Stage Four: Four post delay or poisons costing 3 weapon points or fewer, or stage three or lower, can be destroyed.														
998	2	3	Fanged Tongue Acid	Zesshi Nensan	The user performs seals and then opens his mouth, expelling a highly corrosive acid. The stream can reach up to twenty feet away and is strong enough to cause first degree burns and eat through fabric, paper, and other weak materials. Launching acid from the mouth requires cautious control on behalf of the medic, so this technique cannot be used while moving at high speeds to keep from burning the user. Base Effect: As above. Stage Three: Acid can reach thirty feet and causes second degree burns. Stage Four: Acid can reach fifty feet and causes third degree burns.														
998	2	4	Seal Person Frozen to Death	Fuuin Toushisha	This jutsu only works on dead bodies, but allows a medic to preserve a corpse indefinitely. After performing seals, the user places his hand on a corpse. A unique seal appears over the corpse's flesh, a white square within a black circle, accented by the kanji for ice and corpse in red. As long as the seal remains on the corpse, it will not naturally decompose any further. The seal is recognizable to other medics and can be disrupted and removed by a controlled chakra pulse, even by non-medics.														
998	2	5	Forbidden Technique: Transform Corpse	Kinjutsu: Henge Shibito	Through a special application of chakra, a medic can alter the appearance of a corpse. A dead body may be altered to look like some other individual as bone and facial structure can be physically altered; this technique cannot be dispelled like a normal Henge no Jutsu. The user may change a corpse's face, hair, build, and apparent sex, but cannot change internal organs. Other medics with this jutsu may reverse the process.														
998	2	6	Open Slot																
998	3	1	Healing Hands Technique	Chiyute no Jutsu	The user concentrates chakra into his hands, creating a ball of specialized healing chakra, often characterized by a green glow. When directed into another body, this healing chakra is capable of repairing damage to tissue. Virtually every medic learns this technique, as it is the cornerstone of ninja medicine. Healing chakra may be redirected into the user's own body, but regardless of who the patient is, healing takes at least one post to complete. Base Effect: The medic can heal superficial cuts, first degree burns, hairline fractures, and damage from light fevers and coughs. Stage Four: The medic can heal gashes, second degree burns, sprains, partial fractures and torn tendons.														
998	3	2	Medicine Creation	Kigusuri Souzou	A medic nin is trained to study the effects of natural and artificial compounds on the human body and how they can be combined to create medicines. This technique represents an ability of the medic to create medicines such as antidotes, ointments, serums, and so on. Medicines can be used to treat everyday ailments like upset stomachs or colds, but can also be used to create antidotes for poisons costing 3 weapons points or fewer or at stage two or below. The medic may also craft chloroform, aspirin, and Novocaine without affecting his own weapon points. Creating medicine takes at least one post, but does not expend any of the user's chakra and can be shared with multiple patients or allies. Base Effect: As above. Stage Four: Poisons costing 4 weapon points or fewer or at stage three or below can have antidotes created.														
998	3	3	Thunder Hands Technique	Hekirekite no Jutsu	After performing seals, the user focuses chakra into his hands in order to create an electrical shock strong enough to restart a patient's heart. The medic must be careful with how he places his hands, putting near the patient's shoulder and the other on the lower chest, so that the electrical current travels through the heart without damaging any other tissue. In order to be performed safely, the patient must be motionless and dry and the user must have full concentration for a post. As such, it is virtually impossible to shock an enemy's heart during combat.														
998	3	4	Forbidden Technique: Dead Soul One	Kinjutsu: Shikon Ichi	The medic runs chakra into a corpse, causing it to come 'alive'. In truth, the body is still dead, but can be controlled by the user to act lifelike. The corpse retains the strength and speed it had in life, but has zero stamina and does not have taijutsu bonuses. Controlled corpses may not use jutsu and must stay within ten feet of the user or the technique ends and they crumple to the ground. The user may control one corpse at a time. This may not be used in conjunction with any other level of Dead Soul.														
998	3	5	Forbidden Technique: Precious Human Sacrifice	Kinjutsu: Kichou Hitomigokuu	The user performs seals over a recently dead body, requiring a corpse no more than two days old. While living, the corpse had been a vessel for chakra, a powerful energy. The medic may extract the remnants of chakra still inside the corpse, allowing him to recover his own chakra supply by consuming that of the dead. The corpse becomes desiccated as chakra is drained from it and the user requires a whole body to properly bolster his stores. This technique may only be used once per thread and has a one thread cooldown (so at most, it may only be used once every other thread). Base Effect: The user regains all uses of stage four or below, from taijutsu, ninjutsu, or genjutsu. Thus, he could replenish his ability to use stage three jutsu, but would have no impact on any other usage limit. Jutsu with per thread limits are not affected. Stage Four: As above, but may restore stage five and below.														
998	3	6	Open Slot																
998	4	1	Chakra Scalpel	Chakra Enjintou	A ninjutsu primarily used for field surgery, the medic concentrates a powerful aura of chakra around his hand. This chakra creates a thin blade visible as a blue glow. The blade is capable of bypassing flesh within harming it, allowing a medic to operate on arteries, tendons, and muscles without opening the skin. This also allows a medic to fix a patient's chakra coils if they have been damaged by some other technique. When used in combat, a medic could give an enemy internal wounds, but maintaining the chakra scalpel at combat speed is difficult and eats up a stage usage per post when wielded this way.														
998	4	2	Poison Creation	Souzou Dokubutsu	Just as there are many naturally occuring substances that can be combined to heal, so too can they be combined to harm. Using his knowledge of plants, animals, and minerals, the medic is able to mix together drugs and poisons that range from disabling to deadly. Given at least a post of prep time, the medic can concoct all manner of poisons with basic supplies. This allows the medic to create even unique poisons that he has encountered before. Base Effect: The user can create any registered poison costing 3 or fewer weapon points. Stage Five: The user can create any registered poison costing 4 or fewer weapon points.														
998	4	3	Poison Gas Technique	Biransei no Jutsu	The medic performs seals and then exhales, creating a cloud of poison gas that erupts from his mouth in a stream. The cloud expands into an area in front of the medic, so as not to catch himself in his own technique. Anyone within the thirty foot diameter cloud and breathes the gas succumbs to the poison's effects. In the first post, a victim begins to feel numb throughout his body. The second post of exposure muffles sound. The third post of exposure blinds the victim. At the end of the fourth round of continued exposure, the victim falls unconscious. The cloud lasts for four posts and any poisoned victim who escapes the cloud remains poisoned for two posts.														
998	4	4	Corpse Organ Transplant	Shibito Zoukiishoku	The user can use a recently deceased corpse to replace lost limbs or organs on a living patient. First, the desired part is removed from the corpse, then the medic performs surgery on the patient to knit the two pieces together. This process takes three posts to complete with the corpse piece returning to function during the process. As the patient recovers from the surgery, the replacement part typically changes to resemble the original lost limb or organ.														
998	4	5	Forbidden Technique: Departed Soul Memory Recollection	Kinjutsu: Boukon Kioku no Jutsu	The medic performs a string of handseals and then places his hand over a corpse's skull. As long as the corpse's brain is intact, the medic may comb through the corpse's memories, allowing him to take information. He may not, however, learn jutsu this way. The corpse must have died within the last hour or the memories cannot be salvaged.														
998	4	6	Open Slot																
998	5	1	Killing Hands	Satsugaite	The medic focuses chakra into the palms of his hands, creating a small ball of killing chakra, which is the opposite of the Healing Hands' healing chakra. This chakra is characterized by a black or purple light and, rather than rebuild a patient's cells, it destroys and unravels them. When the medic makes contact with an enemy, he can send some of the killing chakra into the target's body, where it attacks them from inside. If applied to a limb, blood flow can be restricted to cause numbness. If applied to an organ, it can create ulcers, lesions, and so on. The medic must be able to maintain contact for at least five seconds in order to begin destroying tissue, so a fleeting touch can do little more than cause pain.														
998	5	2	Central Nervous System Electrical Shock	Chuusuusei Shikeikiden	The user turns his chakra into an electrical pulse which is transmitted to an enemy's body by striking the base of the neck. The electrical impulse travels up into the brain stem and disrupts the flow electricity through the nervous system. The brain and body connection is affected, confusion communication between the two. If the victim tries to move his arm, he moves his leg, and the victim is generally debilitated as sensory information is mistranslated by the brain. Base Effect: Two post duration. Intelligence 24: Three post duration.														
998	5	3	Perfect Function	Kanpekina Kino	The medic gathers his chakra into his hands and then transfers it into a target by dissipating it a body with a touch. The chakra sinks deep into tissues and enhances them, allowing an affected target to operate at peak efficiency and effectiveness. Muscles benefit from greatly increased force, nervous fire and receive synapses faster, and skin and bones are toughened by the chakra. Base Effect: An ally's Strength, Speed, and Stamina levels are all increased by one for two posts. Afterward, they lose a level off base for one post from fatigue. This drop can reduce a subject's levels to zero without killing them. Control 25: As above, but levels are altered by +/-2. Control 32: As above, but levels are altered by +/-3.														
998	5	4	Okina Byouki no Fujikome - Greater Disease Containment	Okina Byouki no Fujikome	By placing a hand on a patient and sending chakra through the whole body, a medic can isolate and contain vectors of disease. The medic raises his hand from the patient and glowing chakra pulls out of the patient, gathering the disease itself into a floating mass. The user then presses his hand into an open scroll, causing the extracted disease to float down into the page and seal within in as symbols and kanji appear around it, locking it in place. The kanji indicate what disease has just been sealed. Once removed from the body, the patient is effectively cured of his disease, though any damage caused must still be treated normally. Sealing a disease requires a full post of concentration and a motionless patient. At this level, the medic often alters the patient's body to accomplish his task. Base Effect: The medic can seal environment-based diseases, such as allergies or some forms of cancer. A patient may only be treated by this jutsu once in his lifetime; further uses would kill the patient. Intelligence 25: As above, but the medic can seal genetic diseases, such as sickle cell or haemophilia. This counts as a stage six usage. Intelligence 32: As above, but the medic can seal diseases with unknown or complex causes, such as Alzheimer's and autism. This counts as a stage seven usage.														
998	5	5	Forbidden Technique: Greater Disease Propagation	Kinjutsu: Okina Byouki no Denpa	The user most open a scroll that has a disease sealed into it, and performs handseals to release the disease from within the scroll. The vector of disease hangs in the air in a ball of glowing chakra, just in front of the medic's open palm. Then, the user may slam his hand against an enemy target, pressing the disease into the target's body as he does so. The target is thus infected with the released disease, though it does not fully take root until a post later. The disease rapidly progresses to the same stage as it was when it was removed from a patient. Base Effect: The medic may infect targets with environment-based diseases. Control 26: The medic may infect targets with genetic diseases. This counts as a stage six usage. Control 33: The medic may infect targets with diseases of unknown cause. This counts as a stage seven usage.														
998	5	6	Forbidden Technique: Dead Soul Two	Kinjutsu: Shikon Nii	An improvement upon the original Dead Soul One, the medic runs chakra into a corpse, causing it to come 'alive'. In truth, the body is still dead, but can be controlled by the user to act lifelike. The corpse retains the strength and speed it had in life, but functions as if it only had half of its original stamina and half of its taijutsu bonuses. Full stamina is used for any stat requirements on taijutsu. Controlled corpses may not use jutsu and must stay within thirty feet of the user or the technique ends and they crumple to the ground. The user may control two corpses at a time. This may not be used in conjunction with any other level of Dead Soul.														
998	6	1	Healing Hands Technique: Major	Chiyute no Jutsu: Ichidanto	The user concentrates chakra into his hands, creating a ball of specialized healing chakra, often characterized by a green glow. When directed into another body, this healing chakra is capable of repairing damage to tissue. Virtually every medic learns this technique, as it is the cornerstone of ninja medicine. Healing chakra may be redirected into the user's own body, but regardless of who the patient is, healing takes at least one post to complete. With this level of the technique, most medics reach the limit of what can be accomplished without the aid of a hospital and other medic nin. The medic can heal deep gashes, punctures, serious fractures, organ damage, and other semi-fatal injuries. Most minor and moderate illnesses can be treated with a regular application of this technique through the day.														
998	6	2	Ninja Medicine Creation	Ninja Kigusuri Souzou	With this level of knowledge, the medic is now a skill shinobi pharmacist, able to use his advanced skills to make medicines. He can make medical items unique to the shinobi world, such as soldier pills, blood replenishment pills, and false death pills. The medic may also concoct an antidote to any poison, regardless of its weapon point cost or that is stage six or lower. Further, the user may create any universal medical item and any registered by other users if he receives permission. Creating advanced medical supplies requires at least a post of work.														
998	6	3	Cell Regeneration	Saisei no Saibou	 A ninjutsu technique where the user focuses all of his chakra into one part of his body just before an attack. The moment that the attack connects, the chakra activates the user's cells and causes them to rapidly regenerate. This repairs damage at the exact moment it is done and is an extremely powerful jutsu. The amount of chakra required is enormous, preventing the medic from using this more than once per thread. However, the regeneration allows the user to survive any injury, even decapitation or ruptured organs.														
998	6	4	Heart Thrust Technique	Shinzou no Suiryoku no Jutsu	Pooling chakra into his fingertips, the medic delivers a swift, direct blow to a target's thorax. The attack must be precisely accurate, but once it lands, the medic's chakra is capable of causing enormous harm to the opponent's heart. The chakra sends a wave of electrical impulses directly into the target's heart, causing a heart attack. Further, the medic is able to give the target tachycardia, arrhythmia, and other serious heart conditions.														
